artist,title,album,decade,year,date,lyric
Florence + The Machine,Various Storms & Saints,"How Big, How Blue, How Beautiful",10s,2015,2015-05-29,and the air was full of various storms and saints parading in the streets as the banks began to break and i'm in the throes of it somewhere in the belly of the beast but you took your toll on me so i gave myself over willingly you got a hold on me and i don't know how i don't just stand outside and scream i am teaching myself how to be free   the monument of a memory you tear it down in your head don't make the mountain your enemy get out get up there instead you saw the stars out in front of you too tempting not to touch but even though it shocked you something's electric in your blood  pre can people just untie themselves uncurling like flowers if you could just forgive yourself   but still you stumble your feet give way outside the world seems a violent place but you had to have him and so you did some things you let go in order to live while all around you the buildings sway you sing it out loud who made us this way i know you're bleeding but you'll be okay hold on to your heart you'll keep it safe hold on to your heart don't give it away   now find a rooftop to sing from now find a hallway to dance you don't need no edge to cling from your heart is there it's in your hands i know it seems like forever i know it seems like an age but one day this will be over i swear it's not so far away  pre can people just untie themselves uncurling like flowers if you could just forgive yourself   but still you stumble your feet give way outside the world seems a violent place but you had to have him and so you did some things you let go in order to live while all around you the buildings sway you sing it out loud who made us this way i know you're bleeding but you'll be okay hold on to your heart you'll keep it safe hold on to your heart
Florence + The Machine,St. Jude,"How Big, How Blue, How Beautiful",10s,2015,2015-03-23,another conversation with no destination another battle never won and each side is a loser so who cares who fired the gun  pre and i'm learning so i'm leaving and even though i'm grieving i'm trying to find the meaning letting loss reveal it letting loss reveal it   st jude the patron saint of the lost causes st jude we were lost before she started st jude we lay in bed as she whipped around us st jude maybe i've always been more comfortable in chaos   and i was on the island and you were there too but somehow through the storm i couldn't get to you st jude somehow she knew and she came to give her blessing while causing devastation and i couldn't keep my mouth shut i just had to mention grabbing your attention   st jude the patron saint of the lost causes st jude we were lost before she started st jude we lay in bed as she whipped around us st jude maybe i've always been more comfortable in chaos   st jude st jude st jude st jude   and i'm learning so i'm leaving and even though i'm grieving i'm trying to find the meaning letting loss reveal it letting loss reveal it and i'm learning so i'm leaving and even though i'm grieving i'm trying to find the meaning letting loss reveal it letting loss reveal it
Florence + The Machine,"No Light, No Light",Ceremonials,10s,2011,2011-10-28,you are the hole in my head you are the space in my bed you are the silence in between what i thought and what i said you are the nighttime fear you are the morning when it's clear when it's over you're the start you're my head and you're my heart   no light no light in your bright blue eyes i never knew daylight could be so violent a revelation in the light of day you can't choose what stays and what fades away and i'd do anything to make you stay no light no light tell me what you want me to say   through the crowd i was crying out and in your place there were a thousand other faces i was disappearing in plain sight heaven help me i need to make it right  pre you want a revelation you want to get right but it's a conversation i just can't have tonight you want a revelation some kind of resolution you want a revelation   no light no light in your bright blue eyes i never knew daylight could be so violent a revelation in the light of day you can't choose what stays and what fades away and i'd do anything to make you stay no light no light tell me what you want me to say   would you leave me if i told you what i've done and would you leave me if i told you what i've become because it's so easy to say it to a crowd but it's so hard my love to say it to you out loud   no light no light in your bright blue eyes i never knew daylight could be so violent a revelation in the light of day you can't choose what stays and what fades away and i'd do anything to make you stay no light no light tell me what you want me to say   you want a revelation you want to get right but it's a conversation i just can't have tonight you want a revelation some kind of resolution you want a revelation  you want a revelation you want to get right but it's a conversation i just can't have tonight you want a revelation some kind of resolution tell me what you want me to say
Florence + The Machine,No Choir,High As Hope,10s,2018,2018-06-29,and it's hard to write about being happy 'cause the older i get i find that happiness is an extremely uneventful subject    and there would be no grand choirs to sing no  could come in about two people sitting doing nothing   but i must confess i did it all for myself i gathered you here to hide from some vast unnameable fear but the loneliness never left me i always took it with me but i can put it down in the pleasure of your company    and there will be no grand choirs to sing no  will come in no ballad will be written it will be entirely forgotten   and if tomorrow it's all over at least we had it for a moment oh darling things seem so unstable but for a moment we were able to be still    and there will be no grand choirs to sing no  will come in no ballad will be written this will be entirely forgotten  nonlyrical vocal
Florence + The Machine,What the Water Gave Me,Ceremonials,10s,2011,2011-08-23,time it took us to where the water was thats what the water gave me and time goes quicker between the two of us but oh my love dont forsake me take what the water gave me   lay me down let the only sound be the overflow pockets full of stones lay me down let the only sound be the overflow   and oh poor atlas the worlds a beast of a burden youve been holding on a long time and all this longing and the ships are left to rust thats what the water gave us   so lay me down let the only sound be the overflow pockets full of stones lay me down let the only sound be the overflow   because they took your loved ones but returned them in exchange for you but would you have it any other way would you have it any other way you couldn't have it any other way   because shes a cruel mistress and a bargain must be made but oh my love dont forget me while i let the water take me   lay me down let the only sound be the overflow pockets full of stones lay me down let the only sound be the overflow so lay me down let the only sound be the overflow pockets full of stones lay me down let the only sound be the overflow
Florence + The Machine,Only If For A Night,Ceremonials,10s,2011,2011-10-28,and i had a dream about my old school and she was there all pink and gold and glittering i threw my arms around her legs came to weeping came to weeping came to weeping came to weeping  pre and i heard your voice as clear as day and you told me i should concentrate it was all so strange and so surreal that a ghost should be so practical only if for a night   and the only solution was to stand and fight and my body was bruised and i was set alight but you came over me like some holy rite and although i was burning you're the only light only if for a night   and the grass was so green against my new clothes and i did cartwheels in your honor dancing on tiptoes my own secret ceremonials before the service began in the graveyard doing handstands  pre and i heard your voice as clear as day and you told me i should concentrate it was all so strange and so surreal that a ghost should be so practical only if for a night   and the only solution was to stand and fight and my body was bruised and i was set alight but you came over me like some holy rite and although i was burning you're the only light only if for a night   my doe my dear my darling tell me what all the sighing is about tell me what all the sighing is about  pre and i heard your voice as clear as day and you told me i should concentrate it was all so strange and so surreal that a ghost should be so practical   only if for a night  yeah yeah yeah yeah only if for a night  yeah yeah yeah yeah only if for a night  yeah yeah yeah yeah only if for a night  yeah yeah yeah yeah only if for a night  yeah yeah yeah yeah only if for a night  yeah yeah yeah yeah only if for a night  yeah yeah yeah yeah only if for a night  yeah yeah yeah yeah
Florence + The Machine,Moderation,Moderation - Single,10s,2019,2019-01-24,want me to love you in moderation do i look moderate to you sip it slowly and pay attention i just have to see it through you got me looking for validation pastures new want me to love you in moderation well who do you think you're talking to   then bow your head in the house of god and little girl who do you think you are you think you need it you think you want love you wouldn't want it if you knew what it was moderation moderation moderation ooh   i never made it with moderation no i never understood all the feeling was all or nothing and i took everything i could can't hold it back i can't take the tension oh i'm trying to be good want me to love you in moderation well don't you know i wish i could   then bow your head in the house of god and little girl who do you think you are you think you need it you think you want love you wouldn't want it if you knew what it was moderation moderation moderation   girl you better learn i just can't win how to hold it in can't hold it in and girl you better learn i just can't win i just can't win can't hold it in 'cause i don't see the worth i just can't win i don't see the worth and i'm still tryna figure out if it always always always has to hurt   ah ah ah   you want love moderation moderation moderation moderation
Florence + The Machine,Which Witch (Demo),"How Big, How Blue, How Beautiful",10s,2015,2015-06-01,and it's my own heart weighed and measured inside and it's an old scar trying to bleach it out and it's my own heart deemed and delivered a crime i'm on trial waiting 'til the beat comes out i'm on trial waiting 'til the beat comes out  pre who's a heretic now am i making sense how can you make it stick waiting 'til the beat comes out who's a heretic child can you make it stick now and i'm on trial waiting 'til the beat comes out   i'm miles away he's on my mind i'm getting tired of crawling all the way i've had enough it's obvious and i'm getting tired of crawling all the way crawling all the way crawling all the way  post i'm not beaten by this yet you can't tell me to regret been in the dark since the day we met fire help me to forget i'm not beaten by this yet you can't tell me to regret been in the dark since the day we met fire help me to forget   and it's my own heart while tried and tested it's mine and it's my own heart trying to reach it out and it's my own heart burned but not buried this time i'm on trial waiting 'til the beat comes out i'm on trial waiting 'til the beat comes out   i'm miles away he's on my mind i'm getting tired of crawling all the way i've had enough it's obvious and i'm getting tired of crawling all the way  post i'm not beaten by this yet you can't tell me to regret been in the dark since the day we met fire help me to forget i'm not beaten by this yet you can't tell me to regret been in the dark since the day we met fire help me to forget   chained and shackled oh i'll unravel oh it's a pity oh never to return but i never learn it's a pity oh chained and shackled oh i'll unravel oh it's a pity oh say i won't return but i never learn it's a pity oh ooh
Florence + The Machine,Too Much Is Never Enough,Songs from Final Fantasy XV,10s,2016,2016-08-11,and the crown it weighs heavy 'til it's banging on my eyelids retreating in covers and closing the curtains one thing's for certain oh a year like this passes so strangely somewhere between sorrow and bliss  pre  oh who decides from where up high i couldn't say i need more time oh grant that i can stay the night or one more day inside this life   too much too much too much too much too much never enough too much too much too much too much too much never enough too much too much too much too much too much never enough too much too much too much too much too much never never ever enough   oh you wondrous creature coming up who we are 'cause i'm retreating in covers and closing the curtains one thing's for certain oh a year like this passes so strangely somewhere between sorrow and bliss  pre  and who decides from where up high what happened here a hundred flags flying in a field i couldn't say i need more time they all called my name felt it let go of me oh grant that i can stay the night what happened here a hundred flags flying in a field or one more day inside this life they all called my name felt it let go of me   too much too much too much too much too much never enough too much too much too much too much too much never enough too much too much too much too much too much never enough too much too much too much too much too much never never ever enough   and who cares about the thing i did that night so what maybe luna had it right and who cares if i'm coming back alive so what 'least i have the strength to fight   too much too much too much too much too much never enough too much too much too much too much too much never enough too much too much too much too much too much never enough too much too much too much too much too much never never ever enough   what happened here a hundred flags flying in a field  they all called my name felt it let go of me what happened here a hundred flags flying in a field  they all called my name felt it let go of me a hundred flags flying in a field  they all called my name felt it let go of me what happened here a hundred flags flying in a field  they all called my name felt it let go of me
Florence + The Machine,Rabbit Heart (Raise It Up),Lungs,00s,2009,2009-07-03,the looking glass so shiny and new how quickly the glamour fades i start spinning slipping out of time was that the wrong pill to take raise it up you made a deal and now it seems you have to offer up but will it ever be enough  raise it up raise it up it's not enough raise it up raise it up here i am a rabbithearted girl frozen in the headlights it seems i've made the final sacrifice  pre we raise it up this offering we raise it up   this is a gift it comes with a price who is the lamb and who is the knife midas is king and he holds me so tight and turns me to gold in the sunlight   i look around but i can't find you raise it up if only i could see your face raise it up instead of rushing towards the skyline raise it up i wish that i could just be brave i must become a lionhearted girl ready for a fight before i make the final sacrifice  pre we raise it up this offering we raise it up   this is a gift it comes with a price who is the lamb and who is the knife midas is king and he holds me so tight and turns me to gold in the sunlight   raise it up raise it up raise it up raise it up and in the spring i shed my skin and it blows away with the changing wind the waters turn from blue to red as towards the sky i offer it   this is a gift it comes with a price who is the lamb and who is the knife midas is king and he holds me so tight and turns me to gold in the sunlight   this is a gift it comes with a price who is the lamb and who is the knife midas is king and he holds me so tight and turns me to gold in the sunlight   this is a gift it comes with a price who is the lamb and who is the knife midas is king and he holds me so tight and turns me to gold in the sunlight   this is a gift
Florence + The Machine,Girl with One Eye,Lungs,00s,2009,2009-07-03,she told me not to step on the cracks i told her not to fuss and relax well her pretty little face stopped me in my tracks    but now she sleeps with one eye open that's the price she'll pay   i took a knife and cut out her eye i took it home and watched it wither and die well she's lucky that i didn't slip her a smile    thats why she sleeps with one eye open oh but that's the price she'll pay    i said hey girl with one eye get your filthy fingers out of my pie i said hey girl with one eye i'll cut your little heart out cause you made me cry   i slipped my hand under her skirt i said don't worry it's not gonna hurt oh my reputation's kind of clouded with dirt    thats why you sleep with one eye open but that's the price you'll pay    i said hey girl with one eye get your filthy fingers out of my pie i said hey girl with one eye i'll cut your little heart out cause you made me cry   you made me cry you made me cry you made me cry    i said hey girl with one eye get your filthy fingers out of my pie i said girl with one eye get your filthy fingers out of my pie and i said hey girl with one eye get your filthy fingers out of my pie and i said hey girl with one eye i'll cut your little heart out cause you made me cry
Florence + The Machine,Light of Love,,20s,2020,2020-04-17,and i came to walking on the train tracks how did i get here and how do i get back i've been up all night let's stay awake push it further you know i'll never break at some point in the party i thought my heart was failing you said hey you're okay you seem to be still standing flashes appeared at the corner of my eyes i saw the stars and i didn't ask why heard the voices and caught my breath so close and yet so far from death so close and yet so far from death so close and yet so far from death  pre well the feeling was always too much for me it always came too strong i wanted to get it right so badly that i always got it wrong so you keep pushing on you hope it won't be long 'til you can find the child you were and find a way to get along   don't go blindly into the dark in every one of us shines the light of love don't go blindly into the dark in every one of us shines the light of love don't go blindly into the dark in every one of us shines the light of love don't go blindly into the dark in every one of us shines the light of love   and oh my little sister when the drugs were wearing off i climbed into your bed and said i think i did too much in some ways that was simpler being too fucked up to see i didn't have to wake up to the world that was around me and now we are awake and it seems too much to take i want to close my eyes because i fear my heart will break i want to look away i want to look away i want to look away i must not look away   don't go blindly into the dark in every one of us shines the light of love don't go blindly into the dark in every one of us shines the light of love don't go blindly into the dark in every one of us shines the light of love don't go blindly into the dark in every one of us shines the light of love   nananana nananaah nananananana nananana nananaah nananananana nananana nananaah nananananana nananana nananaah nananananana nananana nananaah   i want to look away i want to look away i want to look away i must not look away i must not look away i must not look away i must not look away i must not look away
Florence + The Machine,Mother,"How Big, How Blue, How Beautiful",10s,2015,2015-03-29,oh lord won't you leave me leave me on my knees 'cause i belong to the ground now and it belongs to me and oh lord won't you leave me leave me just like this 'cause i belong to the ground now i want no more than this   how i long for the autumn the sun keeps burning me every stone in this city keeps reminding me oh can you protect me from what i want the lover i let in who left me so lost    mother make me make me a big tall tree so i can shed my leaves and let it blow through me mother make me make me a big grey cloud so i can rain on you things i can't say out loud   all these couples are kissing and i can't stand the heat i lost my shoes and left the party i wandered in the street i put my feet into the fountain the statues all asleep no use wishing on the water it grants you no relief    mother make me make me a bird of prey so i can rise above this let it fall away mother make me make me a song so sweet heaven trembles falling at my feet   oh lord won't you leave me leave me on my knees 'cause i belong to the ground now and it belongs to me and oh lord won't you leave me leave me just like this 'cause i belong to the ground now i want no more than this oh lord won't you leave me leave me on my knees 'cause i belong to the ground now and it belongs to me and oh lord won't you leave me leave me just like this 'cause i belong to the ground now i want no more than this
Florence + The Machine,Spectrum,Ceremonials,10s,2011,2011-10-28,when we first came here we were cold and we were clear with no colours on our skin we were light and paper thin and when we first came here we were cold and we were clear with no colours in our skin until we let the spectrum in  pre say my name and every colour illuminates we are shining and we will never be afraid again   say my name as every colour illuminates we are shining and we will never be afraid again say my name as every colour illuminates we are shining and we will never be afraid again   and when we come for you we'll be dressed up all in blue with the ocean in our arms kiss your eyes and kiss your palms and when it's time to pray we'll be dressed up all in grey with metal on our tongues and silver in our lungs  pre say my name and every colour illuminates we are shining and we will never be afraid again   say my name as every colour illuminates we are shining and we will never be afraid again say my name as every colour illuminates we are shining and we will never be afraid again   and when we come back we'll be dressed in black and you'll scream our names aloud and we won't eat and we won't sleep we'll drag bodies from the ground so say my name and every colour illuminates and we are shining and we will never be afraid again say my name as every colour illuminates   say my name as every colour illuminates we are shining and we will never be afraid again say my name as every colour illuminates we are shining and we will never be afraid again   say my name we are shining say my name say my name and we will never be afraid again
Florence + The Machine,Howl,Lungs,00s,2009,2009-07-03,if you could only see the beast you've made of me i held it in but now it seems you've set it running free screaming in the dark i howl when we're apart drag my teeth across your chest to taste your beating heart my fingers claw your skin try to tear my way in you are the moon that breaks the night for which i have to howl my fingers claw your skin try to tear my way in you are the moon that breaks the night for which i have to  hook howl howl howl howl   now there's no holding back i'm making to attack my blood is singing with your voice i want to pour it out the saints can't help me now the ropes have been unbound i hunt for you with bloody feet across the hallowed ground like some child possessed the beast howls in my veins i want to find you tear out all your tenderness and  hook howl howl howl howl    be careful of the curse that falls on young lovers starts so soft and sweet and turns them to hunters   hunters hunters hunters hunters hunters hunters hunters hunters   the fabric of your flesh pure as a wedding dress until i wrap myself inside your arms i cannot rest the saints can't help me now the ropes have been unbound i hunt for you with bloody feet across the hallowed ground and howl howl    be careful of the curse that falls on young lovers starts so soft and sweet and turns them to hunters a man who's pure of heart and says his prayers by night may still become a wolf when the autumn moon is bright   if you could only see the beast you've made of me i held it in but now it seems you've set it running free the saints can't help me now the ropes have been unbound i hunt for you with bloody feet across the hallowed ground
Florence + The Machine,Caught,"How Big, How Blue, How Beautiful",10s,2015,2015-05-29,it's the hardest thing i've ever had to do to try and keep from calling you well can my dreams keep coming true how can they 'cause when i sleep i never dream of you  pre  as if the dream of you it sleeps too but it never slips away it just gains its strength and digs its hooks to drag me through the day   and i'm caught i forget all that i've been taught i can't keep calm i can't keep still pulled apart against my will   it's the hardest thing i've ever had to prove you turned to salt as i turned around to look at you old friends have said the books i've read say it's the thing to do but it's hard to see it when you're in it 'cause i went blind for you  pre  then you leave my head crawl out the bed you subconscious solipsist and for those hours deep in the dark perhaps you don't exist   but i'm caught i forget all that i've been taught i can't keep calm i can't keep still pulled apart against my will   and i'm thrashing on the line somewhere between desperate and divine i can't keep calm i can't keep still persephone will have her fill   and i'm caught i forget all that i've been taught i can't keep calm i can't keep still pulled apart against my will and i'm caught i forget all that i've been taught i can't keep calm i can't keep still pulled apart against my will
Florence + The Machine,Long & Lost,"How Big, How Blue, How Beautiful",10s,2015,2015-05-29,lost in the fog these hollow hills blood running hot night chills without your love i'll be so long and lost are you missing me   is it too late to come on home are all those s now old stone is it too late to come on home can the city forgive i hear its sad song   i need the clouds to cover me pulling them down surround me without your love i'll be so long and lost are you missing me   is it too late to come on home are all those s now old stone is it too late to come on home can the city forgive i hear its sad song   it's been so long between the words we spoke will you be there up on the shore i hope you wonder why it is that i came home i figured out where i belong   but it's too late to come on home are all those s now old stone but it's too late to come on home can the city forgive i hear its sad song
Florence + The Machine,Bird Song,Lungs,10s,2011,2011-02-27,verse well i didn't tell anyone but a bird flew by saw what i'd done he set up a nest outside and he sang about what i'd become he sang so loud sang so clear i was afraid all the neighbours would hear so i invited him in just to reason with him i promised i wouldn't do it again but he sang louder and louder inside the house and no i couldn't get him out so i trapped him under a cardboard box stood on it to make him stop i picked up the bird and above the din i said that's the last song you'll ever sing held him down broke his neck taught him a lesson he wouldn't forget but in my dreams began to creep that old familiar tweet tweet tweet    i opened my mouth to scream and shout i waved my arms and flapped about but i couldn't scream and i couldn't shout couldn't scream and i couldn't shout    i opened my mouth to scream and shout i waved my arms and flapped about but i couldn't scream and i couldn't shout the song was coming from my mouth   from my mouth from my mouth from my mouth from my mouth from my mouth from my mouth from my mouth from my mouth from my mouth from my mouth from my mouth from my mouth from my mouth from my mouth from my mouth
Florence + The Machine,Blinding,Lungs,00s,2009,2009-07-03,seems that i have been held in some dreaming state a tourist in the waking world never quite awake no kiss no gentle word could wake me from this slumber until i realize that it was you who held me under  pre  felt it in my fist in my feet in the hollows of my eyelids shaking through my skull through my spine and down through my ribs    no more dreaming of the dead as if death itself was undone no more calling like a crow for a boy for a body in the garden no more dreaming like a girl so in love so in love no more dreaming like a girl so in love so in love no more dreaming like a girl so in love with the wrong world   and i could hear the thunder and see the lightning crack all around the world was waking i never could go back because all the walls of dreaming they were torn wide open and finally it seemed that the spell was broken  pre  and all my bones began to shake my eyes flew open and all my bones began to shake my eyes flew open    no more dreaming of the dead as if death itself was undone no more calling like a crow for a boy for a body in the garden no more dreaming like a girl so in love so in love no more dreaming like a girl so in love so in love no more dreaming like a girl so in love with the wrong world    snow white is stitching up your circuitboards synapse slipping through the hidden doors snow white is stitching up your circuitboard    no more dreaming of the dead as if death itself was undone no more calling like a crow for a boy for a body in the garden no more dreaming like a girl so in love so in love no more dreaming like a girl so in love so in love no more dreaming like a girl so in love with the wrong world    snow white's stitching up your circuitboards synapse slipping through the hidden door snow white's stitching up your circuitboard synapse slipping through the hidden door
Florence + The Machine,Pure Feeling (Target Exclusive),"How Big, How Blue, How Beautiful",10s,2015,2015-06-02,blinded by the glare i was moving like i didn't care but it was more than i could bear you know i hoped i'd see you there  pre staring out the window i could see into the soul of every passer by so many lives so many pairs of eyes a pure feeling i'm invisible and magical if only for a moment a pure feeling i'm scared to control it   stretching out my arms i let it comfort me our bodies moving in the dark it takes the pain from me and then i am in love with everyone i see i keep on moving in the spaces where you used to be   and the illusion starts to tear let everybody stand and stare cause now i have no fear i knew that this would end in tears  pre staring out the window i could see into the soul of every passer by so many lives so many pairs of eyes a pure feeling i'm invisible and magical if only for a moment a pure feeling i'm scared to control it   stretching out my arms i let it comfort me our bodies moving in the dark it takes the pain from me and then i am in love with everyone i see i keep on moving in the spaces where you used to be   those strangers carry me i'm lost they're finding me i'm gone they're there with me but it's not over the spaces in between they keep you far from me the emptiness it means it's not over   stretching out my arms i let it comfort me our bodies moving in the dark it takes the pain from me and then i am in love with everyone i see i keep on moving in the spaces where you used to be   stretching out my arms i let it comfort me our bodies moving in the dark it takes the pain from me and then i am in love with everyone i see i keep on moving in the spaces where you used to be
Florence + The Machine,Stand By Me,Songs from Final Fantasy XV,10s,2016,2016-08-11,when the night has come and the land is dark and the moon is the only light we'll see no i won't be afraid oh i won't be afraid just as long as you stand stand by me   so darling darling stand by me oh stand by me oh stand now stand by me stand by me   if the sky that we look upon should tumble and fall or the mountain should crumble to the sea i won't cry i won't cry no i won't shed a tear just as long as you stand stand by me   and darling darling stand by me oh stand by me oh stand now stand by me stand by me   interlude   and darling darling stand by me oh stand by me oh stand stand by me stand by me whenever you're in trouble won't you stand by me oh stand by me oh stand now stand by me   and darling darling stand by me oh stand by me oh stand now stand by me whenever you're in trouble won't you stand by me oh stand by me oh stand now stand by me stand by me
Florence + The Machine,Heavy In Your Arms,Lungs,10s,2010,2010-06-08,i was a heavy heart to carry my beloved was weighed down my arms around his neck my fingers laced to crown i was a heavy heart to carry my feet dragged across the ground and he took me to the river where he slowly let me drown  pre my love has concrete feet my love's an iron ball wrapped around your ankles over the waterfall    i'm so heavy heavy heavy in your arms i'm so heavy heavy heavy in your arms   and is it worth the wait all this killing time are you strong enough to stand protecting both your heart and mine who is the betrayer who's the killer in the crowd the one who creeps in corridors and doesn't make a sound  pre my love has concrete feet my love's an iron ball wrapped around your ankles over the waterfall my love has concrete feet my love's an iron ball wrapped around your ankles over the waterfall    i'm so heavy heavy heavy in your arms i'm so heavy heavy heavy in your arms   this will be my last confession i love you never felt like any blessing oh whispering like it's a secret only to condemn the one who hears it with a heavy heart    whoa heavy heavy heavy i'm so heavy in your arms i'm so heavy heavy heavy i'm so heavy in your arms i'm so heavy heavy heavy i'm so heavy in your arms i'm so heavy heavy heavy i'm so heavy in your arms  breakdown i was a heavy heart to carry my beloved was weighed down my arms around his neck my fingers laced to crown i was a heavy heart to carry but he never let me down when he had me in his arms my feet never touched the ground   i'm so heavy heavy in your arms heavy i'm so heavy in your arms
Florence + The Machine,Make Up Your Mind,"How Big, How Blue, How Beautiful",10s,2015,2015-05-29,i never thought i'd be a killer 'cause there's so much to lose but if i can't drink the water what else can i do  and although the axe is heavy it just sits in my hands while you're changing like the current not a shore on land  pre every time i try to bring it down you always turn my hand around   make up your mind make up make up let me live or let me love you while you've been saving your neck make up make up i've been breaking mine for you the power is on the guillotine hums my back's to the wall go on let it fall oh make up your mind make up make up before i make it up for you   i never thought that i'd be facing a sea that's bluer than the tide now my knees are shaking and i can't look in your eyes  but if you're gonna make me do it how'd you want it done is it best to sip it slowly or drink it down in one  pre every time i try to bring it down you always turn my hand around   make up your mind make up make up let me live or let me love you while you've been saving your neck make up make up i've been breaking mine for you the power is on the guillotine hums my back's to the wall go on let it fall oh make up your mind make up make up before i make it up for you   the executioner's within me and he comes blindfold ready sword in hand and arms so steady every time i try to bring it down you always turn my hand around but every time i try to bring it down you always turn my hand around   make up your mind make up make up let me live or let me love you while you've been saving your neck make up make up i've been breaking mine for you the power is on the guillotine hums my back's to the wall go on let it fall oh make up your mind make up make up before i make it up for you  make up your mind make up make up let me live or let me love you let me love you while you've been saving your neck make up make up i've been breaking mine for you i've been breaking the power is on the guillotine hums i've been breaking my back's to the wall go on let it fall oh i've been breaking make up your mind i've been breaking i've been breaking before i make it up for you
Florence + The Machine,Bedroom Hymns (Bonus Track),Ceremonials,10s,2011,2011-10-28,this is as good a place to fall as any will you build our altar here make me your maria i'm already on my knees you had jesus on your breath and i caught him in mine sweating out confessions the undone and the divine cause  pre this is his body this is his love such selfish prayers and i can't get enough   whoa whoa yeah ah ah   spilt milk tears i did this for you spilling over the idol the black and the blue the sweetest submission drinking it in the wine the women the bedroom hymns  pre this is his body this is his love such selfish prayers and i can't get enough   whoa whoa yeah ah ah   i'm not here looking for absolution because i found myself an old solution i'm not here looking for absolution because i found myself an old solution  pre this is his body this is his love such selfish prayers and i can't get enough this is his body this is his love such selfish prayers and i can't get enough   whoa whoa yeah ah ah whoa whoa yeah ah ah whoa whoa yeah ah ah
Florence + The Machine,All This and Heaven Too,Ceremonials,10s,2011,2011-10-28,and the heart is hard to translate it has a language of its own it talks in tongues and quiet sighs and prayers and proclamations in the grand deeds of great men and the smallest of gestures and short shallow gasps  pre but with all my education i cant seem to command it and the words are all escaping and coming back all damaged and i would put them back in poetry if i only knew how i cant seem to understand it   and i would give all this and heaven too i would give it all if only for a moment that i could just understand the meaning of the word you see because ive been scrawling it forever but it never makes sense to me at all   and it talks to me in tiptoes and it sings to me inside it cries out in the darkest night and breaks in the morning light  pre but with all my education i cant seem to command it and the words are all escaping and coming back all damaged and i would put them back in poetry if i only knew how i cant seem to understand it   and i would give all this and heaven too i would give it all if only for a moment that i could just understand the meaning of the word you see because ive been scrawling it forever but it never makes sense to me at all   and i would give all this and heaven too i would give it all if only for a moment that i could just understand the meaning of the word you see because ive been scrawling it forever but it never makes sense to me at all   no words poor language it doesnt deserve such treatment and all of my stumbling phrases never amounted to anything worth this feeling all this heaven never could describe such a feeling as i'm hearing words were never so useful so i was screaming out a language that i never knew existed before
Florence + The Machine,Drumming Song,Lungs,00s,2009,2009-07-03,pre there's a drumming noise inside my head that starts when you're around i swear that you could hear it it makes such an almighty sound there's a drumming noise inside my head that throws me to the ground i swear that you should hear it it makes such an almighty sound    louder than sirens louder than bells sweeter than heaven and hotter than hell   i ran to the tower where the church bells chime i hoped that they would clear my mind they left a ringing in my ear but that drum's still beating loud and clear    louder than sirens louder than bells sweeter than heaven and hotter than hell louder than sirens louder than bells sweeter than heaven and hotter than hell louder than sirens louder than bells sweeter than heaven and hotter than hell    as i move my feet towards your body i can hear this beat it fills my head up and gets louder and louder it fills my head up and gets louder and louder   i run to the river and dive straight in i pray that the water will drown out the din but as the water fills my mouth it couldn't wash the echoes out but as the water fills my mouth it couldn't wash the echoes out i swallow the sound and it swallows me whole until there's nothing left inside my soul as empty as that beating drum but the song has just begun    as i move my feet towards your body i can hear this beat it fills my head up and gets louder and louder it fills my head up and gets louder and louder  pre there's a drumming noise inside my head that starts when you're around i swear that you could hear it it makes such an almighty sound there's a drumming noise inside my head that starts when you're around i swear that you could hear it it makes such an almighty sound    louder than sirens louder than bells sweeter than heaven and hotter than hell louder than sirens louder than bells sweeter than heaven and hotter than hell    as i move my feet towards your body i can hear this beat it fills my head up and gets louder and louder it fills my head up and gets louder and louder
